lever_id,issue_code,repair_metric_name,target_metric_name,financial_model_location,impact_kind,mapping_basis,flags
balance_sheet::Accounts Receivable Days,working_capital_payment_model_mismatch,current_ratio,current_liabilities,finmo_json.quarter_rows[*].current_liabilities,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Accounts Receivable Days,working_capital_payment_model_mismatch,working_capital_to_revenue_ratio,current_liabilities,finmo_json.quarter_rows[*].current_liabilities,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Accounts Receivable Days,working_capital_payment_model_mismatch,current_ratio,current_ratio,derived from finmo_json.quarter_rows[*].current_assets and current_liabilities,derived,exact_repair_metric,multiple_target_metrics_for_same_repair_metric
balance_sheet::Accounts Receivable Days,working_capital_payment_model_mismatch,working_capital_to_revenue_ratio,revenue,finmo_json.quarter_rows[*].revenue,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Accounts Receivable Days,working_capital_payment_model_mismatch,working_capital_to_revenue_ratio,working_capital_to_revenue_ratio,"derived from finmo_json.quarter_rows[*].current_assets, current_liabilities, revenue",derived,exact_repair_metric,multiple_target_metrics_for_same_repair_metric
balance_sheet::Deferred Revenue (% of Revenue),growth_model_mismatch,operating_cash_flow_margin,operating_cash_flow,finmo_json.quarter_rows[*].operating_cash_flow,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Deferred Revenue (% of Revenue),growth_model_mismatch,operating_cash_flow_margin,operating_cash_flow_margin,derived from finmo_json.quarter_rows[*].operating_cash_flow and revenue,derived,exact_repair_metric,multiple_target_metrics_for_same_repair_metric
balance_sheet::Deferred Revenue (% of Revenue),growth_model_mismatch,operating_cash_flow_margin,revenue,finmo_json.quarter_rows[*].revenue,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Deferred Revenue (% of Revenue),working_capital_payment_model_mismatch,current_ratio,current_assets,finmo_json.quarter_rows[*].current_assets,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Deferred Revenue (% of Revenue),working_capital_payment_model_mismatch,working_capital_to_revenue_ratio,current_assets,finmo_json.quarter_rows[*].current_assets,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Deferred Revenue (% of Revenue),working_capital_payment_model_mismatch,current_ratio,current_liabilities,finmo_json.quarter_rows[*].current_liabilities,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Deferred Revenue (% of Revenue),working_capital_payment_model_mismatch,working_capital_to_revenue_ratio,current_liabilities,finmo_json.quarter_rows[*].current_liabilities,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Deferred Revenue (% of Revenue),working_capital_payment_model_mismatch,current_ratio,current_ratio,derived from finmo_json.quarter_rows[*].current_assets and current_liabilities,derived,exact_repair_metric,multiple_target_metrics_for_same_repair_metric
balance_sheet::Deferred Revenue (% of Revenue),working_capital_payment_model_mismatch,working_capital_to_revenue_ratio,revenue,finmo_json.quarter_rows[*].revenue,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Deferred Revenue (% of Revenue),working_capital_payment_model_mismatch,working_capital_to_revenue_ratio,working_capital_to_revenue_ratio,"derived from finmo_json.quarter_rows[*].current_assets, current_liabilities, revenue",derived,exact_repair_metric,multiple_target_metrics_for_same_repair_metric
balance_sheet::Distributions,catastrophic_liquidity_failure,ending_cash,ending_cash,finmo_json.quarter_rows[*].ending_cash,direct,exact_repair_metric,
balance_sheet::Distributions,profitability_cash_shape_unrealistic,ending_cash,ending_cash,finmo_json.quarter_rows[*].ending_cash,direct,exact_repair_metric,
balance_sheet::Inventory Days,growth_model_mismatch,operating_cash_flow_margin,operating_cash_flow,finmo_json.quarter_rows[*].operating_cash_flow,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Inventory Days,growth_model_mismatch,operating_cash_flow_margin,operating_cash_flow_margin,derived from finmo_json.quarter_rows[*].operating_cash_flow and revenue,derived,exact_repair_metric,multiple_target_metrics_for_same_repair_metric
balance_sheet::Inventory Days,growth_model_mismatch,operating_cash_flow_margin,revenue,finmo_json.quarter_rows[*].revenue,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Inventory Days,operating_model_contradiction,operating_cash_flow_margin,operating_cash_flow,finmo_json.quarter_rows[*].operating_cash_flow,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Inventory Days,operating_model_contradiction,operating_cash_flow_margin,operating_cash_flow_margin,derived from finmo_json.quarter_rows[*].operating_cash_flow and revenue,derived,exact_repair_metric,multiple_target_metrics_for_same_repair_metric
balance_sheet::Inventory Days,operating_model_contradiction,operating_cash_flow_margin,revenue,finmo_json.quarter_rows[*].revenue,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Inventory Days,working_capital_payment_model_mismatch,current_ratio,current_assets,finmo_json.quarter_rows[*].current_assets,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Inventory Days,working_capital_payment_model_mismatch,working_capital_to_revenue_ratio,current_assets,finmo_json.quarter_rows[*].current_assets,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Inventory Days,working_capital_payment_model_mismatch,current_ratio,current_liabilities,finmo_json.quarter_rows[*].current_liabilities,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Inventory Days,working_capital_payment_model_mismatch,working_capital_to_revenue_ratio,current_liabilities,finmo_json.quarter_rows[*].current_liabilities,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Inventory Days,working_capital_payment_model_mismatch,current_ratio,current_ratio,derived from finmo_json.quarter_rows[*].current_assets and current_liabilities,derived,exact_repair_metric,multiple_target_metrics_for_same_repair_metric
balance_sheet::Inventory Days,working_capital_payment_model_mismatch,working_capital_to_revenue_ratio,revenue,finmo_json.quarter_rows[*].revenue,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Inventory Days,working_capital_payment_model_mismatch,working_capital_to_revenue_ratio,working_capital_to_revenue_ratio,"derived from finmo_json.quarter_rows[*].current_assets, current_liabilities, revenue",derived,exact_repair_metric,multiple_target_metrics_for_same_repair_metric
balance_sheet::Other Equity,catastrophic_liquidity_failure,ending_cash,ending_cash,finmo_json.quarter_rows[*].ending_cash,direct,exact_repair_metric,
balance_sheet::Other Equity,financing_solvency_mismatch,debt_to_equity_ratio,debt_to_equity_ratio,derived from finmo_json.quarter_rows[*].total_liabilities and total_equity,derived,exact_repair_metric,multiple_target_metrics_for_same_repair_metric
balance_sheet::Other Equity,financing_solvency_mismatch,debt_to_equity_ratio,other_equity,finmo_json.quarter_rows[*].other_equity,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Other Equity,financing_solvency_mismatch,debt_to_equity_ratio,owners_capital,finmo_json.quarter_rows[*].owners_capital,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Other Equity,financing_solvency_mismatch,debt_to_equity_ratio,total_liabilities,finmo_json.quarter_rows[*].total_liabilities,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Other Equity,profitability_cash_shape_unrealistic,ending_cash,ending_cash,finmo_json.quarter_rows[*].ending_cash,direct,exact_repair_metric,
balance_sheet::Owner's Capital,catastrophic_liquidity_failure,ending_cash,ending_cash,finmo_json.quarter_rows[*].ending_cash,direct,exact_repair_metric,
balance_sheet::Owner's Capital,financing_solvency_mismatch,debt_to_equity_ratio,debt_to_equity_ratio,derived from finmo_json.quarter_rows[*].total_liabilities and total_equity,derived,exact_repair_metric,multiple_target_metrics_for_same_repair_metric
balance_sheet::Owner's Capital,financing_solvency_mismatch,debt_to_equity_ratio,other_equity,finmo_json.quarter_rows[*].other_equity,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Owner's Capital,financing_solvency_mismatch,debt_to_equity_ratio,owners_capital,finmo_json.quarter_rows[*].owners_capital,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Owner's Capital,financing_solvency_mismatch,debt_to_equity_ratio,total_liabilities,finmo_json.quarter_rows[*].total_liabilities,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Owner's Capital,profitability_cash_shape_unrealistic,ending_cash,ending_cash,finmo_json.quarter_rows[*].ending_cash,direct,exact_repair_metric,
balance_sheet::Prepaid Expenses (% of Revenue),growth_model_mismatch,operating_cash_flow_margin,operating_cash_flow,finmo_json.quarter_rows[*].operating_cash_flow,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Prepaid Expenses (% of Revenue),growth_model_mismatch,operating_cash_flow_margin,operating_cash_flow_margin,derived from finmo_json.quarter_rows[*].operating_cash_flow and revenue,derived,exact_repair_metric,multiple_target_metrics_for_same_repair_metric
balance_sheet::Prepaid Expenses (% of Revenue),growth_model_mismatch,operating_cash_flow_margin,revenue,finmo_json.quarter_rows[*].revenue,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Prepaid Expenses (% of Revenue),operating_model_contradiction,operating_cash_flow_margin,operating_cash_flow,finmo_json.quarter_rows[*].operating_cash_flow,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Prepaid Expenses (% of Revenue),operating_model_contradiction,operating_cash_flow_margin,operating_cash_flow_margin,derived from finmo_json.quarter_rows[*].operating_cash_flow and revenue,derived,exact_repair_metric,multiple_target_metrics_for_same_repair_metric
balance_sheet::Prepaid Expenses (% of Revenue),operating_model_contradiction,operating_cash_flow_margin,revenue,finmo_json.quarter_rows[*].revenue,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Prepaid Expenses (% of Revenue),working_capital_payment_model_mismatch,current_ratio,current_assets,finmo_json.quarter_rows[*].current_assets,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Prepaid Expenses (% of Revenue),working_capital_payment_model_mismatch,working_capital_to_revenue_ratio,current_assets,finmo_json.quarter_rows[*].current_assets,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Prepaid Expenses (% of Revenue),working_capital_payment_model_mismatch,current_ratio,current_liabilities,finmo_json.quarter_rows[*].current_liabilities,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Prepaid Expenses (% of Revenue),working_capital_payment_model_mismatch,working_capital_to_revenue_ratio,current_liabilities,finmo_json.quarter_rows[*].current_liabilities,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Prepaid Expenses (% of Revenue),working_capital_payment_model_mismatch,current_ratio,current_ratio,derived from finmo_json.quarter_rows[*].current_assets and current_liabilities,derived,exact_repair_metric,multiple_target_metrics_for_same_repair_metric
balance_sheet::Prepaid Expenses (% of Revenue),working_capital_payment_model_mismatch,working_capital_to_revenue_ratio,revenue,finmo_json.quarter_rows[*].revenue,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Prepaid Expenses (% of Revenue),working_capital_payment_model_mismatch,working_capital_to_revenue_ratio,working_capital_to_revenue_ratio,"derived from finmo_json.quarter_rows[*].current_assets, current_liabilities, revenue",derived,exact_repair_metric,multiple_target_metrics_for_same_repair_metric
balance_sheet::Short Term Debt (% of LTD),financing_solvency_mismatch,debt_to_equity_ratio,debt_to_equity_ratio,derived from finmo_json.quarter_rows[*].total_liabilities and total_equity,derived,exact_repair_metric,multiple_target_metrics_for_same_repair_metric
balance_sheet::Short Term Debt (% of LTD),financing_solvency_mismatch,debt_to_equity_ratio,other_equity,finmo_json.quarter_rows[*].other_equity,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Short Term Debt (% of LTD),financing_solvency_mismatch,debt_to_equity_ratio,owners_capital,finmo_json.quarter_rows[*].owners_capital,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Short Term Debt (% of LTD),financing_solvency_mismatch,debt_to_equity_ratio,total_liabilities,finmo_json.quarter_rows[*].total_liabilities,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Short Term Debt (% of LTD),working_capital_payment_model_mismatch,current_ratio,current_assets,finmo_json.quarter_rows[*].current_assets,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Short Term Debt (% of LTD),working_capital_payment_model_mismatch,working_capital_to_revenue_ratio,current_assets,finmo_json.quarter_rows[*].current_assets,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Short Term Debt (% of LTD),working_capital_payment_model_mismatch,current_ratio,current_liabilities,finmo_json.quarter_rows[*].current_liabilities,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Short Term Debt (% of LTD),working_capital_payment_model_mismatch,working_capital_to_revenue_ratio,current_liabilities,finmo_json.quarter_rows[*].current_liabilities,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Short Term Debt (% of LTD),working_capital_payment_model_mismatch,current_ratio,current_ratio,derived from finmo_json.quarter_rows[*].current_assets and current_liabilities,derived,exact_repair_metric,multiple_target_metrics_for_same_repair_metric
balance_sheet::Short Term Debt (% of LTD),working_capital_payment_model_mismatch,working_capital_to_revenue_ratio,revenue,finmo_json.quarter_rows[*].revenue,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Short Term Debt (% of LTD),working_capital_payment_model_mismatch,working_capital_to_revenue_ratio,working_capital_to_revenue_ratio,"derived from finmo_json.quarter_rows[*].current_assets, current_liabilities, revenue",derived,exact_repair_metric,multiple_target_metrics_for_same_repair_metric
expenses::Cost of Goods Sold,catastrophic_liquidity_failure,ending_cash,ending_cash,finmo_json.quarter_rows[*].ending_cash,direct,exact_repair_metric,
expenses::Cost of Goods Sold,cost_structure_mismatch,gross_margin_pct,gross_margin_pct,derived from finmo_json.quarter_rows[*].gross_profit and revenue,derived,exact_repair_metric,multiple_target_metrics_for_same_repair_metric
expenses::Cost of Goods Sold,cost_structure_mismatch,gross_margin_pct,gross_profit,finmo_json.quarter_rows[*].gross_profit,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
expenses::Cost of Goods Sold,cost_structure_mismatch,gross_margin_pct,revenue,finmo_json.quarter_rows[*].revenue,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
expenses::Cost of Goods Sold,growth_model_mismatch,operating_cash_flow_margin,operating_cash_flow,finmo_json.quarter_rows[*].operating_cash_flow,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
expenses::Cost of Goods Sold,growth_model_mismatch,operating_cash_flow_margin,operating_cash_flow_margin,derived from finmo_json.quarter_rows[*].operating_cash_flow and revenue,derived,exact_repair_metric,multiple_target_metrics_for_same_repair_metric
expenses::Cost of Goods Sold,growth_model_mismatch,operating_cash_flow_margin,revenue,finmo_json.quarter_rows[*].revenue,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
expenses::Cost of Goods Sold,operating_model_contradiction,operating_cash_flow_margin,operating_cash_flow,finmo_json.quarter_rows[*].operating_cash_flow,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
expenses::Cost of Goods Sold,operating_model_contradiction,operating_cash_flow_margin,operating_cash_flow_margin,derived from finmo_json.quarter_rows[*].operating_cash_flow and revenue,derived,exact_repair_metric,multiple_target_metrics_for_same_repair_metric
expenses::Cost of Goods Sold,operating_model_contradiction,operating_cash_flow_margin,revenue,finmo_json.quarter_rows[*].revenue,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
expenses::Cost of Goods Sold,pricing_positioning_mismatch,gross_margin_pct,gross_margin_pct,derived from finmo_json.quarter_rows[*].gross_profit and revenue,derived,exact_repair_metric,multiple_target_metrics_for_same_repair_metric
expenses::Cost of Goods Sold,pricing_positioning_mismatch,gross_margin_pct,gross_profit,finmo_json.quarter_rows[*].gross_profit,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
expenses::Cost of Goods Sold,pricing_positioning_mismatch,gross_margin_pct,revenue,finmo_json.quarter_rows[*].revenue,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
expenses::Cost of Goods Sold,profitability_cash_shape_unrealistic,ebitda_margin_pct,ebitda,finmo_json.quarter_rows[*].ebitda,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
expenses::Cost of Goods Sold,profitability_cash_shape_unrealistic,ebitda_margin_pct,ebitda_margin_pct,derived from finmo_json.quarter_rows[*].ebitda and revenue,derived,exact_repair_metric,multiple_target_metrics_for_same_repair_metric
expenses::Cost of Goods Sold,profitability_cash_shape_unrealistic,ending_cash,ending_cash,finmo_json.quarter_rows[*].ending_cash,direct,exact_repair_metric,
expenses::Cost of Goods Sold,profitability_cash_shape_unrealistic,ebitda_margin_pct,revenue,finmo_json.quarter_rows[*].revenue,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
expenses::General & Administrative,cost_structure_mismatch,opex_to_revenue_ratio,g_and_a,finmo_json.quarter_rows[*].g_and_a,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
expenses::General & Administrative,cost_structure_mismatch,opex_to_revenue_ratio,lease_rent,finmo_json.quarter_rows[*].lease_rent,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
expenses::General & Administrative,cost_structure_mismatch,opex_to_revenue_ratio,marketing,finmo_json.quarter_rows[*].marketing,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
expenses::General & Administrative,cost_structure_mismatch,opex_to_revenue_ratio,opex_to_revenue_ratio,"derived from finmo_json.quarter_rows[*].payroll, marketing, g_and_a, lease_rent, revenue",derived,exact_repair_metric,multiple_target_metrics_for_same_repair_metric
expenses::General & Administrative,cost_structure_mismatch,opex_to_revenue_ratio,payroll,finmo_json.quarter_rows[*].payroll,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
expenses::General & Administrative,cost_structure_mismatch,opex_to_revenue_ratio,revenue,finmo_json.quarter_rows[*].revenue,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
expenses::General & Administrative,growth_model_mismatch,operating_cash_flow_margin,operating_cash_flow,finmo_json.quarter_rows[*].operating_cash_flow,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
expenses::General & Administrative,growth_model_mismatch,operating_cash_flow_margin,operating_cash_flow_margin,derived from finmo_json.quarter_rows[*].operating_cash_flow and revenue,derived,exact_repair_metric,multiple_target_metrics_for_same_repair_metric
expenses::General & Administrative,growth_model_mismatch,operating_cash_flow_margin,revenue,finmo_json.quarter_rows[*].revenue,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
expenses::General & Administrative,operating_model_contradiction,operating_cash_flow_margin,operating_cash_flow,finmo_json.quarter_rows[*].operating_cash_flow,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
expenses::General & Administrative,operating_model_contradiction,operating_cash_flow_margin,operating_cash_flow_margin,derived from finmo_json.quarter_rows[*].operating_cash_flow and revenue,derived,exact_repair_metric,multiple_target_metrics_for_same_repair_metric
expenses::General & Administrative,operating_model_contradiction,operating_cash_flow_margin,revenue,finmo_json.quarter_rows[*].revenue,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
expenses::General & Administrative,profitability_cash_shape_unrealistic,ebitda_margin_pct,ebitda,finmo_json.quarter_rows[*].ebitda,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
expenses::General & Administrative,profitability_cash_shape_unrealistic,ebitda_margin_pct,ebitda_margin_pct,derived from finmo_json.quarter_rows[*].ebitda and revenue,derived,exact_repair_metric,multiple_target_metrics_for_same_repair_metric
expenses::General & Administrative,profitability_cash_shape_unrealistic,ending_cash,ending_cash,finmo_json.quarter_rows[*].ending_cash,direct,exact_repair_metric,
expenses::General & Administrative,profitability_cash_shape_unrealistic,ebitda_margin_pct,revenue,finmo_json.quarter_rows[*].revenue,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
expenses::Lease,cost_structure_mismatch,opex_to_revenue_ratio,g_and_a,finmo_json.quarter_rows[*].g_and_a,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
expenses::Lease,cost_structure_mismatch,opex_to_revenue_ratio,lease_rent,finmo_json.quarter_rows[*].lease_rent,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
expenses::Lease,cost_structure_mismatch,opex_to_revenue_ratio,marketing,finmo_json.quarter_rows[*].marketing,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
expenses::Lease,cost_structure_mismatch,opex_to_revenue_ratio,opex_to_revenue_ratio,"derived from finmo_json.quarter_rows[*].payroll, marketing, g_and_a, lease_rent, revenue",derived,exact_repair_metric,multiple_target_metrics_for_same_repair_metric
expenses::Lease,cost_structure_mismatch,opex_to_revenue_ratio,payroll,finmo_json.quarter_rows[*].payroll,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
expenses::Lease,cost_structure_mismatch,opex_to_revenue_ratio,revenue,finmo_json.quarter_rows[*].revenue,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
expenses::Lease,growth_model_mismatch,operating_cash_flow_margin,operating_cash_flow,finmo_json.quarter_rows[*].operating_cash_flow,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
